ID,ComplainDate,CompletionDate,CustomerID,BrokerID,ProductID,ComplainPriorityID,ComplainTypeID,ComplainSourceID,ComplainCategoryID,ComplainStatusID,AdministratorID,ClientSatisfaction,ExpectedReimbursement
7,12/20/2011,1/13/2012,620216,7640,73,1,5,5,18,9,98,SAT,0
8,12/20/2011,12/23/2011,672165,10967,62,1,7,3,18,9,98,SAT,0
16,12/27/2011,1/26/2012,11606,11127,41,1,3,5,13,9,98,NSA,0
17,12/27/2011,1/27/2012,872360,10637,4,1,5,5,11,9,98,N/A,0
18,12/27/2011,1/18/2012,2004046,12116,12,1,3,5,10,9,98,N/A,0
19,12/27/2011,2/14/2012,211339,11104,6,1,3,5,18,9,98,N/A,0
20,12/27/2011,1/11/2012,1799451,11474,8,1,7,3,10,9,98,N/A,0
22,12/27/2011,1/27/2012,812350,8946,22,1,3,5,32,9,98,NSA,0
23,12/29/2011,1/12/2012,146389,10989,65,1,3,5,13,9,98,SAT,0
24,12/29/2011,1/19/2012,2067669,586,11,1,3,5,11,9,98,SAT,0
25,12/30/2011,1/3/2012,2100574,9562,64,1,7,3,11,9,98,SAT,0
26,12/30/2011,1/13/2012,1884347,11768,55,1,7,3,11,9,98,SAT,0
27,12/30/2011,1/13/2012,358206,194,15,1,7,8,4,9,98,SAT,0
28,12/30/2011,1/5/2012,1857235,10127,32,1,7,3,11,9,98,N/A,0
29,1/2/2012,1/13/2012,2504515,7973,14,1,2,1,15,9,98,SAT,0
30,1/2/2012,1/18/2012,521286,879,22,1,3,5,46,9,98,SAT,0
31,1/3/2012,1/30/2012,1870977,1748,50,1,5,5,10,9,98,N/A,0
32,1/3/2012,1/19/2012,2167216,12133,54,1,3,5,10,9,98,SAT,0
33,1/3/2012,1/5/2012,473390,11175,48,1,7,8,13,9,98,SAT,0
34,1/3/2012,1/13/2012,192720,8855,29,1,2,1,11,9,98,SAT,0
35,1/3/2012,1/24/2012,2056385,10989,37,1,3,5,11,9,98,N/A,0
36,1/4/2012,1/31/2012,61273,10426,19,1,3,5,10,9,98,NSA,0
38,1/4/2012,1/18/2012,1868814,11487,13,1,4,5,18,9,98,N/A,0
39,1/5/2012,1/9/2012,707502,11131,31,2,3,5,19,9,98,SAT,0
40,1/5/2012,1/27/2012,705842,2478,52,1,3,5,13,9,98,N/A,0
41,1/5/2012,1/19/2012,1793304,10067,8,2,3,5,10,9,98,SAT,0
42,1/5/2012,1/30/2012,1896503,11747,40,2,3,5,13,9,98,SAT,0
43,1/5/2012,2/3/2012,1708551,10722,66,1,3,5,11,9,98,N/A,0
44,1/9/2012,2/7/2012,592765,11122,10,1,3,5,10,9,98,N/A,0
46,1/10/2012,1/20/2012,1905644,10990,51,2,3,5,11,9,98,NSA,0
47,1/10/2012,1/23/2012,894502,11796,22,1,4,5,13,9,98,SAT,0
48,1/10/2012,1/18/2012,2018516,12475,32,2,3,5,50,9,98,N/A,0
49,1/10/2012,1/18/2012,590346,10160,78,1,3,5,10,9,98,N/A,0
50,1/10/2012,2/9/2012,1815182,1350,40,2,3,5,4,9,98,NSA,0
52,1/11/2012,1/19/2012,1753652,11213,41,1,5,3,15,9,98,N/A,0
53,1/12/2012,2/24/2012,2092556,11194,41,1,4,5,18,9,98,SAT,0
54,1/12/2012,2/3/2012,1832844,1876,28,1,3,1,11,9,98,NSA,0
55,1/12/2012,1/30/2012,768137,10327,40,1,3,5,11,9,98,N/A,0
56,1/12/2012,1/30/2012,194839,1846,38,1,3,5,11,9,98,SAT,0
57,1/13/2012,2/22/2012,1919794,8840,78,1,3,5,13,9,98,SAT,0
58,1/13/2012,1/30/2012,680807,11051,7,1,3,5,10,9,98,SAT,0
61,1/13/2012,1/25/2012,60774,10326,9,2,3,5,15,9,98,SAT,0
62,1/13/2012,1/18/2012,171281,10534,49,2,3,1,32,9,98,SAT,0
64,1/16/2012,1/30/2012,543673,8858,1,1,7,3,11,9,98,SAT,0
65,1/16/2012,1/16/2012,1815782,11715,77,2,7,8,54,9,98,N/A,0
66,1/16/2012,2/13/2012,119887,11676,72,1,5,8,11,9,98,SAT,0
67,1/16/2012,1/30/2012,1985063,10964,72,2,3,5,10,9,98,N/A,0
68,1/17/2012,2/1/2012,324573,9633,20,1,4,5,18,9,98,NSA,0
69,1/19/2012,1/19/2012,794018,11265,16,2,3,5,10,9,98,N/A,0
70,1/19/2012,1/31/2012,1831617,11974,45,1,3,1,10,9,98,N/A,0
71,1/19/2012,1/25/2012,1618124,10127,21,2,3,5,11,9,98,N/A,0
72,1/20/2012,2/9/2012,2385789,194,38,1,3,5,4,9,98,N/A,0
73,1/20/2012,1/31/2012,706343,10618,68,2,3,1,18,9,98,SAT,0
74,1/23/2012,1/26/2012,2133073,9393,61,1,3,5,11,9,98,SAT,0
75,1/23/2012,1/30/2012,1849031,9958,31,1,2,1,11,9,98,N/A,0
76,1/23/2012,1/30/2012,2427034,9419,12,1,7,3,11,9,98,SAT,0
77,1/23/2012,1/23/2012,2314317,11162,75,1,3,5,11,9,98,N/A,0
78,1/23/2012,1/25/2012,893040,9968,48,2,2,1,34,9,98,SAT,0
79,1/23/2012,1/27/2012,152064,10016,64,2,3,1,18,9,98,SAT,0
80,1/24/2012,2/10/2012,822643,11638,26,1,3,1,11,9,98,SAT,0
81,1/24/2012,2/3/2012,2092222,2478,35,1,3,5,13,9,98,NSA,0
82,1/25/2012,2/14/2012,890558,2690,17,1,3,2,11,9,98,N/A,0
83,1/25/2012,2/2/2012,766673,11978,1,1,3,1,11,9,98,N/A,0
84,1/25/2012,2/1/2012,2127811,1140,2,1,2,3,3,9,98,SAT,0
85,1/27/2012,2/1/2012,1749781,11590,58,1,7,3,11,9,98,SAT,0
86,1/27/2012,2/9/2012,705909,356,36,1,3,5,34,9,98,NSA,0
87,1/27/2012,2/9/2012,2152374,8965,8,1,3,5,11,9,98,N/A,0
88,1/27/2012,2/3/2012,64350,9357,40,2,3,5,18,9,98,SAT,0
89,1/27/2012,3/14/2012,636141,1256,20,1,4,5,11,9,98,NSA,0
97,1/27/2012,2/28/2012,888788,2613,13,1,5,5,10,9,98,N/A,0
99,1/30/2012,2/14/2012,1709876,597,37,1,3,5,10,9,98,NSA,0
100,1/31/2012,2/7/2012,1826580,10186,11,1,3,5,10,9,98,SAT,0
101,1/31/2012,2/10/2012,630649,581,27,1,5,5,25,9,98,SAT,0
102,1/31/2012,2/15/2012,780758,2129,27,1,3,5,13,9,98,NSA,0
103,1/31/2012,2/2/2012,316403,11788,72,1,3,5,23,9,98,N/A,0
104,1/31/2012,2/6/2012,1819751,9362,14,1,2,1,11,9,98,NSA,0
105,2/1/2012,2/15/2012,2293031,1846,32,1,3,5,11,9,98,SAT,0
106,2/1/2012,2/16/2012,24642,542,64,1,3,5,11,9,98,NSA,0
107,2/1/2012,2/8/2012,170144,12065,60,2,5,1,40,9,98,N/A,0
108,2/2/2012,2/28/2012,1853917,7950,10,1,3,5,11,9,98,NSA,0
109,2/2/2012,2/15/2012,1683536,11870,26,1,3,5,38,9,98,N/A,0
110,2/2/2012,2/6/2012,848207,10990,1,1,3,5,13,9,98,N/A,0
111,2/3/2012,2/9/2012,2059557,9021,40,2,3,5,15,9,98,SAT,0
112,2/3/2012,3/16/2012,2107953,11150,7,2,3,1,46,9,98,N/A,0
113,2/3/2012,2/10/2012,254590,11097,7,2,3,5,34,9,98,SAT,0
114,2/3/2012,3/19/2012,643559,10563,8,2,3,5,54,9,98,NSA,0
115,2/3/2012,2/17/2012,106079,8882,41,1,5,4,54,9,98,N/A,0
116,2/3/2012,2/29/2012,1789606,10507,41,1,5,5,18,9,98,N/A,0
117,2/3/2012,2/29/2012,2134120,2538,48,1,5,5,18,9,98,N/A,0
118,2/3/2012,2/15/2012,1800354,10187,19,2,2,1,13,9,98,SAT,0
119,2/6/2012,3/13/2012,1326,2378,6,1,3,1,11,9,98,NSA,0
120,2/6/2012,3/22/2012,2055412,9923,13,1,3,4,18,9,98,SAT,0
121,2/6/2012,2/21/2012,313188,9021,3,2,7,3,15,9,98,N/A,0
122,2/7/2012,2/28/2012,138130,10659,18,1,3,5,50,9,98,NSA,0
123,2/7/2012,2/28/2012,2116035,11971,48,1,3,1,50,9,98,NSA,0
136,2/7/2012,2/28/2012,1736651,8138,19,1,3,5,50,9,98,NSA,0
137,2/7/2012,2/15/2012,629377,269,74,1,3,5,50,9,98,N/A,0
