ID,ComplaintID,ComplaintStatusID,StatusDate
129,10028,9,9/19/2018
33,10033,1,9/12/2018
34,10033,9,9/12/2018
67,10051,3,9/14/2018
68,10051,4,9/14/2018
69,10051,9,9/14/2018
334,10052,3,9/28/2018
341,10052,9,10/1/2018
20,10053,1,9/12/2018
338,10053,4,10/1/2018
579,10053,1,10/17/2018
620,10053,4,10/19/2018
649,10053,1,10/22/2018
664,10053,9,10/23/2018
95,10071,9,9/18/2018
158,10074,9,9/20/2018
96,10083,1,9/18/2018
102,10083,4,9/18/2018
171,10083,3,9/21/2018
210,10083,4,9/25/2018
378,10083,9,10/3/2018
121,10090,3,9/19/2018
162,10090,4,9/20/2018
1049,10090,1,11/13/2018
1052,10090,4,11/13/2018
1143,10090,9,11/19/2018
161,10101,1,9/20/2018
175,10101,4,9/21/2018
266,10101,9,9/26/2018
92,10104,3,9/17/2018
135,10104,9,9/20/2018
50,10106,4,9/13/2018
168,10106,1,9/21/2018
440,10106,9,10/9/2018
30,10108,3,9/12/2018
32,10108,1,9/12/2018
55,10108,3,9/13/2018
97,10108,9,9/18/2018
12,10117,3,9/11/2018
174,10117,9,9/21/2018
16,10119,4,9/11/2018
160,10119,1,9/20/2018
188,10119,4,9/24/2018
204,10119,9,9/24/2018
71,10124,3,9/14/2018
333,10124,9,9/28/2018
9,10125,4,9/11/2018
19,10125,1,9/12/2018
23,10125,3,9/12/2018
61,10125,9,9/13/2018
3,10126,1,9/11/2018
10,10126,9,9/11/2018
4,10127,9,9/11/2018
5,10128,9,9/11/2018
141,10129,4,9/20/2018
599,10129,9,10/17/2018
41,10130,3,9/13/2018
60,10130,1,9/13/2018
63,10130,9,9/13/2018
2,10131,1,9/11/2018
15,10131,3,9/11/2018
93,10131,9,9/18/2018
11,10133,9,9/11/2018
1,10134,1,9/11/2018
21,10134,1,9/12/2018
110,10134,4,9/19/2018
111,10134,1,9/19/2018
224,10134,3,9/25/2018
346,10134,4,10/1/2018
482,10134,3,10/10/2018
489,10134,9,10/10/2018
6,10135,1,9/11/2018
13,10135,3,9/11/2018
78,10135,4,9/17/2018
79,10135,3,9/17/2018
85,10135,9,9/17/2018
7,10136,1,9/11/2018
8,10136,4,9/11/2018
59,10136,1,9/13/2018
164,10136,3,9/21/2018
263,10136,9,9/26/2018
14,10137,1,9/11/2018
22,10137,9,9/12/2018
17,10138,2,9/11/2018
87,10138,9,9/17/2018
18,10139,2,9/11/2018
114,10139,1,9/19/2018
146,10139,9,9/20/2018
24,10140,1,9/12/2018
29,10140,4,9/12/2018
297,10140,3,9/27/2018
433,10140,9,10/8/2018
25,10141,2,9/12/2018
116,10141,1,9/19/2018
159,10141,9,9/20/2018
26,10142,2,9/12/2018
117,10142,1,9/19/2018
147,10142,9,9/20/2018
27,10143,2,9/12/2018
118,10143,1,9/19/2018
149,10143,9,9/20/2018
28,10144,1,9/12/2018
58,10144,4,9/13/2018
393,10144,1,10/4/2018
394,10144,3,10/4/2018
